,query,matched,score,ModelID,StrippedCellLineName
422,SW780,SW780,100.0,ACH-000384,SW780
423,TCCSUP,TCCSUP,100.0,ACH-000720,TCCSUP
424,C-33-A,C33A,80.0,ACH-001333,C33A
425,C-4-I,,,,
426,ME-180,ME180,90.9090909090909,ACH-001359,ME180
427,42-MG-BA,42MGBA,85.71428571428571,ACH-000323,42MGBA
428,A172,A172,100.0,ACH-000558,A172
429,T98G,T98G,100.0,ACH-000571,T98G
430,U-118-MG,U118MG,85.71428571428571,ACH-000040,U118MG
431,YKG-1,YKG1,88.88888888888889,ACH-000570,YKG1
432,ChaGo-K-1,,,,
433,Calu-3,,,,
434,COR-L23,CORL23,92.3076923076923,ACH-000662,CORL23
435,LK-2,LK2,85.71428571428571,ACH-000769,LK2
436,NCI-H1437,NCIH1437,94.11764705882354,ACH-000589,NCIH1437
